Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Avg. seconds,Avg. minutes
San Francisco Fire Department : 2.01 Fire Alarm Submittal,1112,1045,0:03:38,925,86.81,80.31,218,3.63
Film Commission : Scene in San Francisco Rebate Program,1111,926,0:02:04,580,70,55.18,124,2.07
Mayor's Task Force on Anti-Human Trafficking | Department on the Status of Women,1110,818,0:02:56,602,67.11,54.5,176,2.93
San Francisco Public Works : Community Preservation and Blight Reduction Act,1110,595,0:00:37,462,26.84,41.26,37,0.62
City and County of San Francisco : SF City ID Card - Discounts at Local Businesses,1109,922,0:02:14,611,75.61,60.96,134,2.23
Film Commission : Search,1109,1045,0:01:27,168,88.1,48.87,87,1.45
Board Members | Board of Appeals,1108,924,0:02:12,179,75.42,45.22,132,2.2
San Francisco Port Department : Get Involved,1108,391,0:00:34,96,1.04,14.08,34,0.57
Fogwatch Picnic Area | Treasure Island Development Authority,1107,933,0:01:24,525,64.76,45.08,84,1.4
San Francisco Public Works : Free Sample Merchandise,1107,536,0:00:57,329,14.89,40.11,57,0.95
SFGov : About the CMO,1107,951,0:00:48,373,86.6,40.02,48,0.8
Topic No. 102: Security Deposits - General Information | Rent Board,1107,965,0:02:10,314,71.02,38.21,130,2.17
San Francisco Port Department : The EcoCenter at Heron's Head Park,1106,498,0:00:32,370,19.73,36.17,32,0.53
City and County of San Francisco : North Light Court - 4 of 6,1105,912,0:00:05,2,100,1.9,5,0.08
San Francisco Ethics Commission: E-File Campaign Finance Statements,1105,757,0:01:46,133,48.12,22.81,106,1.77
San Francisco Rent Board : New State Law Limits Relocation Payments for Temporary Displacement of Tenants for Less Than 20 Days,1105,944,0:03:40,650,73.38,62.71,220,3.67
For Your Information - Page Not Found | Treasure Island Development Authority,1104,903,0:00:51,637,63.27,52.72,51,0.85
Rule 112 Eligible Lists | Civil Service Commission,1104,969,0:02:59,198,76.77,39.31,179,2.98
City and County of San Francisco : The Program,1103,871,0:01:53,308,60.39,38.53,113,1.88
Mayor's Office of Housing and Community Development : Police in the Community Program (PIC),1102,1036,0:01:18,394,76.4,38.84,78,1.3
San Francisco Port Department : Pier 90-94 Backlands Planning,1101,451,0:00:37,258,13.57,22.89,37,0.62
San Francisco Public Works : Telegraph Rock Slope Improvements,1101,535,0:00:53,444,21.85,41.6,53,0.88
City and County of San Francisco : Master Voter File Information,1100,760,0:02:20,530,59.81,47.64,140,2.33
San Francisco Public Works : Bayview Transportation Improvements Project,1100,541,0:00:31,344,13.95,32.27,31,0.52
San Francisco 311 : Building/Unit Owner or Business,1098,889,0:01:09,92,91.3,47.27,69,1.15
San Francisco Public Works : Sandbag Saturdays to Help San Francisco Residents Prepare for Storms,1096,624,0:00:56,449,36.08,48.54,56,0.93
San Francisco Fire Department : H-110 Marine Engineer of Fire Boats,1095,1091,0:00:56,1028,98.44,94.79,56,0.93
Office of the Mayor : Important Notice for Applicants,1094,616,0:00:30,116,43.97,14.35,30,0.5
San Francisco 311 : Fire Code Issues,1094,954,0:02:38,701,82.17,69.65,158,2.63
Contact | Board of Appeals,1093,888,0:01:45,56,67.86,42.18,105,1.75
Office of the Mayor : Special Notice for Mayor's Office of Public Policy & Finance Applicants,1093,900,0:01:22,246,62.6,29,82,1.37
2014 Annual Gross Receipts & Payroll Expense Tax Practice Return | Treasurer & Tax Collector,1091,538,0:02:36,37,54.05,28.32,156,2.6
Employees Retirement System | Welcome,1091,869,0:03:09,484,26.65,62.69,189,3.15
Office of Community Investment and Infrastructure : Mission Bay,1091,972,0:03:33,910,88.02,83.5,213,3.55
"Meeting Calendar, Rules of Order & Rules Governing Discipline | Fire Department",1088,964,0:02:39,724,80.39,71.32,159,2.65
San Francisco Rent Board : Forms Center - Chinese,1088,536,0:01:25,112,75,18.11,85,1.42
Topic No. 101: This Year's Security Deposit Interest Rate | Rent Board,1088,937,0:02:26,332,65.96,42.56,146,2.43
Public Relations and Media | Department of Building Inspection,1087,878,0:00:52,95,50.53,18.68,52,0.87
San Francisco Law Library : MCLE Self-Study Audio Programs,1086,810,0:02:42,479,71.82,55.99,162,2.7
Worksheet GRT Tax Computation v 6302014_Final.pdf | Treasurer & Tax Collector,1086,716,0:02:24,30,30,25.97,144,2.4
Controller : Government Performance & Operations,1084,939,0:01:29,263,79.09,56.37,89,1.48
Board of Supervisors : Board 2,1082,451,0:01:03,164,89.63,18.48,63,1.05
City and County of San Francisco : Community Outreach,1081,809,0:00:28,125,69.6,14.62,28,0.47
San Francisco Rent Board : Topic No. 211: Reports of Alleged Wrongful Eviction,1081,975,0:01:53,327,72.78,35.52,113,1.88
San Francisco Public Works : SoMa West - McCoppin Hub Plaza,1080,542,0:00:30,507,22.88,46.3,30,0.5
Committee on Information Technology : COIT Policies,1079,561,0:00:55,267,45.32,24.93,55,0.92
Film Commission : Agency Contacts,1079,959,0:01:51,493,91.48,54.03,111,1.85
Topic No. 253: Renting an Illegal Unit | Rent Board,1079,967,0:01:25,358,77.37,39.48,85,1.42
business_zone | Treasurer & Tax Collector,1077,1018,0:00:20,14,28.57,4.83,20,0.33
San Francisco Department of Emergency Management : Hazard Mitigation Plan Update,1077,922,0:02:41,799,76.85,69.73,161,2.68
Film Commission : Economic Impacts of Filming,1074,965,0:04:53,918,90.63,85.94,293,4.88
City and County of San Francisco : Small Business Commissioners,1073,838,0:01:40,328,76.83,46.51,100,1.67
"Department of Children, Youth and Their Families : About Us",1072,846,0:00:26,128,80.62,24.53,26,0.43
"Department of Children, Youth and Their Families : Jobs and Internships for Youth Ages 14-24, School Year 2014-2015",1070,688,0:02:19,578,68.39,52.8,139,2.32
San Francisco 311 : Health Code Issues,1068,909,0:02:49,192,83.85,54.87,169,2.82
San Francisco Department of Human Resources : Designated Medical Treatment Facilities,1067,918,0:01:37,331,75.53,43.86,97,1.62
City and County of San Francisco : CAPSS,1063,896,0:03:06,595,69.92,57.67,186,3.1
Rule 109 Position Classification and Related Rules | Civil Service Commission,1063,939,0:03:08,421,87.17,58.04,188,3.13
San Francisco Police Department : Written Test,1063,906,0:02:06,772,61.66,58.7,126,2.1
Forms - Birth & Death Certificates | Office of the County Clerk,1062,896,0:04:17,35,35.9,55.37,257,4.28
Office of the Mayor : News Releases : Mayor Lee Announces $7 Million Shared Prosperity Package to Support Arts,1061,994,0:03:14,929,92.57,89.26,194,3.23
Mayor's Office of Housing and Community Development : Middle Income Unit: 1400 Mission,1060,879,0:03:26,525,65.71,57.45,206,3.43
City and County of San Francisco : OSB Programs,1059,840,0:01:02,75,38.67,22.19,62,1.03
City and County Organization Chart | Welcome,1059,871,0:01:24,150,64.9,29.37,84,1.4
San Francisco Department of Emergency Management : Protocol Manual: Individual Files,1057,847,0:03:08,528,75.76,63.67,188,3.13
San Francisco Port Department : 2762R Pier 31 Building & Roof Repair Project,1056,400,0:00:26,353,2.83,31.06,26,0.43
City and County of San Francisco : Shelter Services,1054,936,0:00:34,76,80.26,18.88,34,0.57
Controller : Office of Economic Analysis Biographies,1053,958,0:02:44,940,81.81,80.44,164,2.73
San Francisco Department of Human Resources : All Scheduled Workshops,1053,693,0:01:43,119,77.31,27.54,103,1.72
Site Guide | Welcome,1051,814,0:01:32,566,45.41,37.49,92,1.53
City and County of San Francisco : ADA Program Compliance,1050,731,0:00:39,128,57.81,16.57,39,0.65
About Us | Department of Child Support Services,1049,814,0:00:39,42,59.52,20.31,39,0.65
"Department of Children, Youth and Their Families : About DCYF Grants",1049,828,0:00:46,293,44.03,22.88,46,0.77
San Francisco District Attorney : Diversion & Reentry Programs,1049,763,0:01:03,373,61.66,33.75,63,1.05
Recreation and Learning | Welcome,1047,794,0:01:48,63,39.06,40.97,108,1.8
SFGov : News and Press,1047,601,0:01:17,205,82.93,31.23,77,1.28
Building Inspection Commission | Department of Building Inspection,1046,555,0:00:29,69,37.68,8.51,29,0.48
"Mayor's Office of Housing : BMR Re-Rentals: 333 Harrision Street, Units 217, 642 (Rincon Green)",1046,913,0:01:26,119,74.79,23.52,86,1.43
San Francisco Public Works : Bartlett Street Streetscape Improvement Project,1046,566,0:00:52,472,35.38,43.02,52,0.87
Log Cabin Ranch School | Juvenile Probation Department,1045,826,0:01:37,173,68.21,38.85,97,1.62
Film Commission : Meetings & Agendas,1043,891,0:01:56,454,94.05,64.81,116,1.93
San Francisco Police Department : Investigations 1: Hit and Run,1043,883,0:02:41,762,75.33,67.4,161,2.68
Meeting Information | Department on the Status of Women,1041,497,0:00:32,38,39.47,7.59,32,0.53
City and County of San Francisco : Local Business Enterprise Advisory Committee (LBEAC),1040,847,0:00:33,69,57.97,12.21,33,0.55
San Francisco Department of Emergency Management : Request for Materials,1040,965,0:00:40,168,95.24,28.94,40,0.67
Housing Inspection Services | Department of Building Inspection,1039,707,0:01:44,103,50,25.22,104,1.73
City and County of San Francisco : Toolkit,1037,932,0:02:35,511,98.43,75.12,155,2.58
"Tax Collector Regulation Public Hearing December 10, 2014 | Treasurer & Tax Collector",1037,612,0:00:57,67,25.37,9.35,57,0.95
Mayor's Office of Housing and Community Development : Capital Projects Information,1036,844,0:01:39,250,89.6,43.34,99,1.65
Film Commission : Incentives,1034,817,0:01:01,302,62.25,37.23,61,1.02
San Francisco Rent Board : Topic No. 261: Rent Withholding and the Repair and Deduct Remedy,1034,978,0:01:11,112,76.79,25.15,71,1.18
Controller : TESS Reporting Services,1031,995,0:02:28,978,96.32,94.86,148,2.47
Research & Reports | Adult Probation Department,1031,579,0:01:06,54,59.26,23.38,66,1.1
San Francisco Police Department : California Penal Code Section 148.5 PC,1030,965,0:01:38,669,86.85,67.48,98,1.63
Office of Economic and Workforce Development : Central Market Street and Tenderloin Area Payroll Expense Tax Exclusion,1027,841,0:03:36,576,81.08,67.48,216,3.6
San Francisco Port Department : Art,1027,363,0:00:43,157,21.02,21.03,43,0.72
City and County of San Francisco : Press Room,1026,792,0:00:25,9,44.44,10.62,25,0.42
"Office of the Mayor : ""I Am the Future"" Mayor's Scholarship Awards",1026,870,0:02:43,821,84.29,76.8,163,2.72
San Francisco 311 : Vision and Mission,1025,895,0:01:08,124,87.1,36.2,68,1.13
San Francisco Police Department : Department News and Updates : Man Assembling Shotgun in Pacific Heights Neighborhood Attacks Responding Police Officers,1022,967,0:02:41,903,92.69,87.08,161,2.68
San Francisco Public Works : Health Centers & Hospitals,1022,796,0:00:36,327,83.79,39.53,36,0.6
San Francisco Port Department : Request for Qualifications for Emergency Preparedness Training Services,1021,481,0:00:16,83,12.05,12.44,16,0.27
Office of Economic and Workforce Development : Public Meeting Notices,1020,594,0:00:58,192,78.12,28.63,58,0.97
FAQs (Frequently Asked Questions) | Juvenile Probation Department,1019,857,0:01:36,364,77.75,46.91,96,1.6
Mayor's Office of Housing and Community Development : Inclusionary BMR Rental Program Owner and Agent Requirements,1018,693,0:01:05,443,28.67,21.61,65,1.08
Appeals | Civil Service Commission,1016,576,0:01:13,77,35,21.56,73,1.22
San Francisco Department of Human Resources : DHR Statement of Incompatible Activities,1016,942,0:00:45,99,73.74,16.04,45,0.75
San Francisco Public Works : Irving Streetscape Improvements Project,1014,517,0:00:42,353,20.68,35.6,42,0.7
Transient Occupancy Tax (TOT) Information for Hosts and Website Companies | Treasurer & Tax Collector,1013,642,0:00:31,132,24.24,10.17,31,0.52
Clipper Cove | Treasure Island Development Authority,1010,839,0:02:20,615,69.92,63.37,140,2.33
Manage Contacts,1010,704,0:01:57,573,73.47,57.13,117,1.95
Mayor's Office of Housing : Multifamily Units - 129 Golden Gate Avenue (Vera Haile Senior Housing),1010,898,0:00:43,240,88.33,27.62,43,0.72
San Francisco Law Library : Contact Us,1010,846,0:01:23,308,60.71,47.52,83,1.38
San Francisco Department of Emergency Management : EMT Fees,1009,870,0:01:52,618,84.3,64.52,112,1.87
"Mayor's Office of Housing : BMR Resale: 2363 Larkin Street, Unit 22",1008,826,0:00:57,160,86.88,23.61,57,0.95
San Francisco Port Department : 2774 Pier 94 High Mast Lighting Project,1005,429,0:00:30,373,0.54,22.59,30,0.5
San Francisco Rent Board,1003,833,0:01:00,421,63.42,40.18,60,1
Commission Meetings | Human Rights Commission,1002,688,0:01:45,132,59.09,34.13,105,1.75
Calculate Support | Department of Child Support Services,1000,690,0:01:38,118,52.99,43.1,98,1.63
City and County of San Francisco : Thank You for Confirming,1000,920,0:02:33,428,88.32,70.9,153,2.55
Topic No. 012: Overview of Rent Board Services-What We Do and Don't Do | Rent Board,998,912,0:01:05,50,72,21.94,65,1.08
San Francisco Department of Human Resources : Online Tuition Reimbursement Process-Unrepresented Employees,997,845,0:02:30,313,76.04,55.67,150,2.5
San Francisco Port Department : Southern Waterfront Planning,997,381,0:00:26,278,5.76,27.58,26,0.43
City and County of San Francisco : Contracting Opportunities,996,822,0:00:50,72,58.33,24.2,50,0.83
Mayor's Office of Housing and Community Development : Citizen's Committee on Community Development,996,754,0:00:29,312,65.71,30.02,29,0.48
"""Your Recreation Destination"" | Treasure Island Development Authority",995,811,0:01:22,215,66.05,41.61,82,1.37
San Francisco Fire Department : Propane Safety for Gas Grills & Heaters,995,953,0:02:29,906,91.94,87.94,149,2.48
Controller : Site Map,994,714,0:00:57,326,55.52,41.35,57,0.95
San Francisco Police Department : Department News and Updates : DUI Saturation Patrols This Friday,994,862,0:00:53,782,79.8,75.86,53,0.88
City and County of San Francisco : North Light Court - 5 of 6,992,825,0:00:08,0,0,4.03,8,0.13
City and County of San Francisco : Rotunda & Grand Staircase - 14 of 15,990,830,0:00:06,6,83.33,4.04,6,0.1
San Francisco Fire Department,989,829,0:00:40,552,87.14,54.2,40,0.67
City and County of San Francisco : Higher Risk Dogs,988,936,0:00:46,66,37.88,16.7,46,0.77
Our Mission | Treasurer & Tax Collector,988,839,0:01:15,148,47.97,31.38,75,1.25
San Francisco 311 : County Clerk - Typo/Error/Damaged Marriage License - Duplicate - 106605,988,651,0:02:18,594,82.66,62.65,138,2.3
Office of the City Attorney : AiCA-SF Refund Program,987,847,0:04:38,842,88,84.7,278,4.63
San Francisco Ethics Commission: Campaign Finance Reform Ordinance,986,857,0:03:45,518,68.73,59.23,225,3.75
San Francisco Ethics Commission: Contracts - Filings,985,485,0:04:40,222,31.53,17.77,280,4.67
San Francisco Public Works : Urban Harvesting Program,985,518,0:00:26,417,29.74,42.94,26,0.43
Rules & Regulations | Rent Board,984,710,0:00:50,106,25.47,11.79,50,0.83
Rule 113 Certification of Eligibles | Civil Service Commission,982,876,0:03:59,211,81.52,55.09,239,3.98
City and County of San Francisco : Bayview Hunters Point Citizen Advisory Committee,981,712,0:01:11,490,30.2,26.61,71,1.18
City and County of San Francisco : Guidebook,981,753,0:01:35,660,42.58,44.14,95,1.58
Department Internship Program | Department on the Status of Women,981,847,0:03:22,353,72.32,64.12,202,3.37
Annual Reports | Department of Building Inspection,977,636,0:02:24,180,45,31.32,144,2.4
Mayor's Office of Housing and Community Development : Inclusionary Housing Program Fee Schedule,977,779,0:03:01,476,77.31,60.18,181,3.02
SFERS : Active Member FAQs,976,859,0:00:16,231,98.7,27.77,16,0.27
San Francisco Law Library : Legal Research,975,798,0:00:24,92,80.43,17.74,24,0.4
San Francisco Public Works : Deputy Director for Operations,973,449,0:00:28,236,12.71,19.94,28,0.47
San Francisco Department of Emergency Management : Emergency Operations,972,889,0:00:45,155,89.68,24.79,45,0.75
"San Francisco Ethics Commission: Daily Campaign Finance Reports Dashboard - November 4, 2014 Election",972,740,0:01:06,167,37.72,15.74,66,1.1
Treasure Island: Your Recreation Destination | Treasure Island Development Authority,972,802,0:01:12,182,60.44,37.55,72,1.2
Film Commission : Post Production Sales Tax,970,803,0:02:18,702,82.19,74.12,138,2.3
San Francisco Collaborative Against Human Trafficking (SFCAHT) | Department on the Status of Women,970,779,0:02:45,735,64.63,64.23,165,2.75
San Francisco Rent Board : Topic No. 309: Special Rules for Seismic Work,970,818,0:02:02,312,66.03,35.88,122,2.03
Business Taxes & Fees Calendar | Treasurer & Tax Collector,969,795,0:00:19,85,35.29,6.09,19,0.32
"City and County of San Francisco : November 8, 2011 Municipal Election",969,553,0:02:17,392,58.42,42.62,137,2.28
Women's Human Rights | Department on the Status of Women,969,771,0:01:10,89,60.67,21.36,70,1.17
San Francisco Port Department : List of Approved Port Commission Resolutions,968,325,0:00:07,50,0,5.58,7,0.12
"RFPs, RFQs & Bids | Office of Community Investment and Infrastructure",967,603,0:01:46,370,44.89,49.12,106,1.77
San Francisco Law Library : Library Services,967,768,0:00:31,51,84.31,14.68,31,0.52
San Francisco 311 : Citations,965,796,0:01:12,370,78.92,50.88,72,1.2
San Francisco Port Department : Pier 70 Area - Building 6,965,471,0:00:56,401,32.42,37.1,56,0.93
San Francisco Labor Laws: Citywide | Office of Labor Standards Enforcement,964,774,0:01:51,569,37.02,56.12,111,1.85
City and County of San Francisco : Local Business Enterprise,963,703,0:00:52,215,33.95,18.9,52,0.87
First installment of secured taxes due and payable | Treasurer & Tax Collector,963,839,0:00:20,13,53.85,6.44,20,0.33
Policy Recommendations | Office of Citizen Complaints,963,638,0:01:07,36,52.78,15.16,67,1.12
San Francisco Police Department : ID Theft,962,750,0:01:47,645,49.3,45.01,107,1.78
Citizen Advisory Board (CAB) | Treasure Island Development Authority,961,726,0:00:53,155,52.9,22.06,53,0.88
Controller : Treasury Oversight Notice,961,692,0:01:30,574,70.21,56.3,90,1.5
San Francisco Department of Emergency Management : History,958,873,0:00:35,116,93.97,17.75,35,0.58
San Francisco Port Department : Pier 70 Area - Site Condition Data,956,392,0:00:23,66,7.58,15.06,23,0.38
Film Commission : Contacts,953,654,0:00:23,150,74.67,16.16,23,0.38
Board of Supervisors : Aaron Peskin,952,725,0:01:03,182,77.47,35.5,63,1.05
City and County of San Francisco : South Light Court - 1 of 3,952,663,0:00:10,0,0,3.36,10,0.17
City and County of San Francisco : Forms and Applications,950,395,0:01:06,136,44.85,22.42,66,1.1
City and County of San Francisco : Medical Cannabis Task Force,950,638,0:00:45,344,45.06,29.47,45,0.75
Citizen's Advisory Board | Treasure Island Development Authority,949,495,0:00:23,16,50,6.64,23,0.38
City and County of San Francisco : 14C Benefit Corporation,948,772,0:01:02,57,66.67,15.51,62,1.03
City and County of San Francisco : Email Sign-Up: Employers with 20 or More Employees,948,861,0:01:03,172,47.09,18.25,63,1.05
SFERS : Counseling Appointments,948,760,0:00:34,244,97.13,35.44,34,0.57
Mayor's Office of Housing and Community Development : BMR Resale Unit: 888 7th Street. Unit 238,947,721,0:01:49,249,76.31,36.11,109,1.82
San Francisco Public Works : Sample Sidewalk Landscaping,947,497,0:00:51,123,26.02,24.71,51,0.85
Topic No. 103: Interest on Security Deposits | Rent Board,947,777,0:02:04,171,60.47,26.61,124,2.07
User account | Department of Building Inspection,947,626,0:01:55,401,13.72,12.04,115,1.92
City and County of San Francisco : Programs Under the 14B LBE Ordinance,946,728,0:00:40,28,28.57,10.15,40,0.67
Regulatory License renewal due | Treasurer & Tax Collector,946,719,0:00:49,61,24.59,9.51,49,0.82
San Francisco Fire Department : Airport Division - About Us,946,763,0:01:42,398,69.85,45.24,102,1.7
City and County of San Francisco : City Festivals & Events/Newsroom,945,679,0:01:09,102,62.75,23.81,69,1.15
San Francisco 311 : History,945,734,0:01:26,106,78.3,26.98,86,1.43
Committee on Information Technology,944,716,0:00:40,612,92.97,61.55,40,0.67
San Francisco Department of Human Resources : H-33 Emergency Medical Services Captain,944,812,0:01:29,403,82.38,51.8,89,1.48
City and County of San Francisco : Rotunda & Grand Staircase - 15 of 15,942,782,0:00:16,5,80,8.39,16,0.27
San Francisco 311 : San Francisco Animal Leash Law - 400265,942,820,0:03:43,810,87.53,84.39,223,3.72
San Francisco Ethics Commission: Regulations to Campaign Finance Reform Ordinance San Francisco Campaign and Governmental Conduct Code Section 1.100 et seq,941,816,0:03:47,316,64.56,46.23,227,3.78
San Francisco Law Library,941,777,0:00:52,750,62,59.94,52,0.87
Office of Economic and Workforce Development : WISF Meeting Agendas and Minutes,940,762,0:02:28,521,84.84,66.6,148,2.47
San Francisco Department of Human Resources : Supervisory and Management Workshops,940,718,0:00:45,105,42.86,11.49,45,0.75
Section 37.9C Tenants Rights To Relocation For No-Fault Evictions | Rent Board,940,804,0:04:04,533,75.84,60.64,244,4.07
Women in the Workplace | Department on the Status of Women,940,651,0:01:41,108,55.56,27.34,101,1.68
City and County of San Francisco : Military and Overseas Voting,939,620,0:02:32,190,62.63,45.15,152,2.53
Kindergarten to College (K2C) | Treasurer & Tax Collector,939,761,0:02:29,390,65.73,50.37,149,2.48
Board of Supervisors : Hearings,938,786,0:00:58,276,60.14,28.57,58,0.97
San Francisco Public Works : West Portal Avenue and Quintara Street Improvements Project,938,448,0:00:39,362,16.3,38.17,39,0.65
Controller : Definitions,931,848,0:01:59,574,93.9,71,119,1.98
San Francisco Department of Emergency Management : Exercise Documentation Templates,931,904,0:00:28,533,94.38,59.94,28,0.47
"San Francisco Port Department : Contract No. 2750, Pier 50 - Covered Storage Shed",931,467,0:00:06,92,21.74,8.7,6,0.1
City and County of San Francisco : How to Get Paid,930,708,0:01:10,177,69.49,30.32,70,1.17
My Account | San Francisco Arts Commission,928,546,0:01:23,339,32.15,19.61,83,1.38
37.9E Tenant Buyout Agreements | Rent Board,927,825,0:04:44,593,78.17,68.5,284,4.73
San Francisco : Public Library,927,764,0:03:03,564,78.01,72.17,183,3.05
San Francisco Port Department : Forms,925,384,0:00:41,56,0,17.41,41,0.68
"San Francisco Port Department : May 26, 2015",925,406,0:00:52,84,21.43,27.78,52,0.87
Mediation | Office of Citizen Complaints,924,629,0:00:49,60,54.1,20.24,49,0.82
San Francisco Port Department : 2758 Bayview Gateway & Tulare Park Project Information,924,466,0:00:11,86,18.6,7.14,11,0.18
SFERS : Balance Requests,924,795,0:00:32,230,99.13,37.01,32,0.53
San Francisco Public Works : Graffiti Watch,923,491,0:00:34,312,22.76,39.76,34,0.57
San Francisco Department of Emergency Management : Work for DEM,922,828,0:01:49,221,93.21,61.17,109,1.82
City and County of San Francisco : Second Floor - 1 of 14,919,686,0:00:09,21,14.29,2.61,9,0.15
San Francisco Public Works : Pine Pitch Canker Recommendations,919,518,0:00:36,412,35.92,47.88,36,0.6
Office of the Mayor : Fiscal Year 2014-15 and fiscal year 2015-16 Budget Documents,918,750,0:03:08,353,78.75,64.49,188,3.13
San Francisco Fire Department : Fireworks Safety,918,818,0:02:35,791,86.98,83.44,155,2.58
San Francisco Police Department : Social Media Policy,918,760,0:01:23,625,72.96,58.61,83,1.38
San Francisco Public Works : Utility Undergrounding Program,918,478,0:00:43,375,35.73,40.52,43,0.72
San Francisco Department of Human Resources : JobAps Training,917,775,0:01:24,292,49.32,27.92,84,1.4
Board of Supervisors : Calendar,916,848,0:00:31,65,33.85,7.53,31,0.52
"San Francisco Port Department : April 14, 2015",916,408,0:00:40,118,5.93,26.31,40,0.67
San Francisco Port Department : Maritime News,916,382,0:00:16,57,1.75,15.5,16,0.27
San Francisco District Attorney : Sentencing Commission,915,720,0:01:37,415,64.58,42.95,97,1.62
San Francisco Fire Department : Public Notices,915,829,0:00:39,599,97.5,68.63,39,0.65
Board of Supervisors : Filing a Formal Appeal,913,650,0:00:47,268,44.03,23.22,47,0.78
San Francisco Fire Department : Assistant Deputy Chief - Dale Carnes,913,894,0:02:04,871,95.52,93.87,124,2.07
San Francisco 311 : Homeless– Person Seeking Help,911,523,0:01:10,125,58.4,30.19,70,1.17
Board of Supervisors : Resolutions 2013,909,672,0:01:40,131,76.34,26.62,100,1.67
Film Commission : Film Fun in SF,909,748,0:00:36,100,87,27.61,36,0.6
Office of the Mayor : News Releases : Mayor Lee Launches Navigation Center to Help Homeless Residents Access Services & Housing,909,823,0:02:55,670,79.85,72.28,175,2.92
San Francisco GovTV : Video On Demand,909,651,0:01:54,453,66.67,58.31,114,1.9
City and County of San Francisco : Ordinances That Affect Contracting,908,684,0:01:41,64,57.81,21.48,101,1.68
San Francisco : Unified School District. San Francisco (SFUSD),908,782,0:03:12,648,86.13,78.74,192,3.2
City and County of San Francisco : 2010 Census: Redistricting Task Force,907,579,0:01:26,329,58.05,43.88,86,1.43
Mayor's Office of Housing : Ava - 55 9th Street - BMR Lottery Results,907,769,0:01:07,197,85.28,30.21,67,1.12
"San Francisco Rent Board : Section 37.7 Certification of Rental Increases for Capital Improvements, Rehabilitation and Energy Conservation Measures",907,789,0:03:17,280,70.71,47.19,197,3.28
City and County of San Francisco : How to Start a Nonprofit,906,637,0:02:40,588,73.81,65.34,160,2.67
San Francisco Campaign and Governmental Conduct Code | Civil Service Commission,905,548,0:01:43,446,65.7,46.52,103,1.72
San Francisco Department of Human Resources : Leadership Development Programs and Workshops,905,686,0:01:30,84,52.38,18.67,90,1.5
San Francisco Port Department : 2013,905,192,0:00:10,43,0,5.75,10,0.17
Office of the Mayor : Mayor Lee's Opinions-Editorials,904,734,0:01:34,185,84.32,43.14,94,1.57
City and County of San Francisco : 2014 GALLERY,903,741,0:00:55,68,85.29,23.48,55,0.92
City and County of San Francisco : CCC Department Coordinators,903,793,0:00:40,492,97.15,63.01,40,0.67
Office of Labor Standards Enforcement,903,688,0:01:37,457,35.46,45.74,97,1.62
San Francisco 311 : Rec and Park - Senior Centers - 106962,903,704,0:02:59,695,73.38,70.43,179,2.98
San Francisco Port Department : 2765 Pier 35 Building & Roof Repair Project,903,433,0:00:13,52,3.85,8.97,13,0.22
City and County of San Francisco : HRC Forms and Attachments for Primes Bidding on City Contracts,901,770,0:02:44,531,57.25,51.72,164,2.73
Mayor's Office of Housing : Foreclosure Resources,900,771,0:01:25,216,82.87,35.11,85,1.42
Stadt und Landkreis von San Francisco,900,645,0:01:13,636,70.13,68.67,73,1.22
San Francisco Public Works : Broadway Chinatown Streetscape Improvement Project,899,435,0:00:38,275,16.36,31.7,38,0.63
City and County of San Francisco : Seeking Interested Voluteers and Students for School-Year or Summer Internships,898,812,0:01:30,531,86.63,63.25,90,1.5
"Department of Children, Youth and Their Families : Our Mission, Function & History",898,753,0:02:16,232,72.41,42.09,136,2.27
San Francisco Public Works : Branch Libraries,898,791,0:01:01,314,88.85,42.32,61,1.02
San Francisco Rent Board : Topic No. 208: Evictions Based on Breach of Lease Involving Material Change in Original Lease Term,898,830,0:01:26,179,82.68,26.95,86,1.43
Adviser | Civil Service Commission,897,735,0:02:26,101,19.8,32.66,146,2.43
San Francisco Fire Department : SFFD Lockbox Program,895,754,0:02:57,672,83.63,78.88,177,2.95
歡迎使用租務委員會的中文網頁 | Rent Board,895,415,0:00:56,49,57.14,10.28,56,0.93
Board of Supervisors : Public Notices,894,482,0:00:26,104,72.12,15.32,26,0.43
San Francisco Port Department : Cargo: Breakbulk - Project - Bulk,894,352,0:00:35,61,8.2,14.32,35,0.58
City and County of San Francisco : Mayor's Office of Criminal Justice,893,676,0:00:27,184,41.3,16.01,27,0.45
San Francisco Fire Department : Fire Marshal & Assistant Deputy Chief - Daniel De Cossio,893,827,0:01:20,746,81.5,76.15,80,1.33
San Francisco Public Works : 2013 Press Releases,893,436,0:00:16,316,10.76,35.95,16,0.27
"Mayor's Office of Housing : 2015-2016 RFP Information (CDBG, ESG, HOPWA, General Fund/Housing Trust Fund)",891,759,0:01:44,531,73.07,56.45,104,1.73
San Francisco District Attorney : Resources for Victims,890,614,0:01:03,78,78.21,31.35,63,1.05
San Francisco Fire Department : Fire Marshal & Assistant Deputy Chief - Michie Wong,890,835,0:01:39,752,82.31,75.73,99,1.65
San Francisco Public Works : Surface-Mounted Facility,889,383,0:00:29,341,3.81,33.97,29,0.48
Office of the Mayor : News Releases : Mayor Lee Announces New Fire Department Emergency Medical Services Academy Class,888,822,0:03:35,723,89.76,84.91,215,3.58
